ticker,avg_price,avg_volume,avg_dollar_volume,tier,round_trip_cost
A,144.1607153756278,2019546.7142857143,291046312.8617554,large,0.001
AA,44.64933369954427,6155523.2,275131334.815624,large,0.001
AAA,25.006000010172524,9362.466666666667,234109.41363016763,illiquid,0.02
AACB,10.305666732788087,51753.73333333333,533231.5668613433,illiquid,0.02
AACBU,10.561428683144706,78.57142857142857,832.8571728297642,illiquid,0.02
AACG,0.9903200030326843,16981.533333333333,17090.061996793745,penny,0.03
AADR,85.27266642252604,1986.2,169686.47459106444,illiquid,0.02
AAL,14.890000025431315,59109344.733333334,883140526.0669098,large,0.001
AALG,17.192813428243003,11747.0,199644.6552327474,illiquid,0.02
AAM,10.614666684468586,60065.4,638870.3639308293,illiquid,0.02
AAME,2.464285731315613,19587.785714285714,48209.432338050436,penny,0.03
AAMI,46.55199966430664,242320.66666666666,11356202.805132547,mid,0.003
AAOI,28.975999959309895,4898416.866666666,149480969.13208923,large,0.001
AAON,83.42599945068359,971466.6,79842410.73114878,mid,0.003
AAP,48.87285723005022,1716088.357142857,82087348.26757076,mid,0.003
AAPB,35.18398666381836,66392.73333333334,2339283.6951375324,small,0.008
AAPD,12.869333394368489,914069.9333333333,11679418.632231014,mid,0.003
AAPG,30.449799982706704,3613.133333333333,106293.13451360067,illiquid,0.02
AAPL,278.31199951171874,41186261.4,11463938067.313765,large,0.001
AAPU,36.8120007832845,1109060.2,40974688.41972249,mid,0.003
AARD,12.89866663614909,249718.73333333334,3258536.0570656457,small,0.008
AAT,19.140666580200197,386191.8,7387738.006471634,small,0.008
AAUC,22.110666529337564,812499.5333333333,17963417.85547091,mid,0.003
AAUS,55.16884002685547,1271.0666666666666,70224.113130188,illiquid,0.02
AAVM,29.644746780395508,1781.3333333333333,52554.981018066406,illiquid,0.02
AAXJ,92.11666615804036,423157.4,38867523.96955109,mid,0.003
AB,40.88642856052944,226326.14285714287,9257768.09866987,small,0.008
ABAT,3.938666741053263,5103307.133333334,20191653.286490154,penny,0.03
ABBV,225.2700002034505,4885344.0,1100215241.0155437,large,0.001
ABCB,77.05600077311198,421034.86666666664,32547251.777422078,mid,0.003
ABCL,3.5739999930063884,3189181.0,11380764.776952982,penny,0.03
ABCS,30.467719904581706,2780.4,84829.70015106202,illiquid,0.02
ABEO,5.029333337148031,1231089.0666666667,6236705.461345291,small,0.008
ABEQ,36.08086649576823,13180.133333333333,475188.0321202596,illiquid,0.02
ABEV,2.528666639328003,32192373.333333332,80956400.94655831,penny,0.03
ABG,238.33285522460938,163275.5,39036892.10064697,mid,0.003
ABI,24.879667027791342,93.73333333333333,2332.6786984761557,illiquid,0.02
ABIG,32.09683367411296,12739.133333333333,409491.83863105776,illiquid,0.02
ABL,7.584000015258789,724830.6666666666,5519989.911420186,small,0.008
ABLLL,25.345999908447265,4657.8,118078.56193122864,illiquid,0.02
ABLV,0.8088666717211406,1466721.6666666667,1412001.500781079,penny,0.03
ABM,45.022667185465494,762329.6,34568909.98181661,mid,0.003
ABNB,125.50066630045573,4555534.2,572564409.6122711,large,0.001
ABNY,45.52618662516276,2251.0666666666666,103454.18224029541,illiquid,0.02
ABOS,1.9679999907811483,138051.46666666667,274443.84201809566,penny,0.03
ABP,5.798000017801921,21915.666666666668,126277.44352753957,illiquid,0.02
ABR,8.761333465576172,2753625.066666667,23981789.330243938,mid,0.003
ABSI,3.4666666825612387,3953356.1333333333,14043189.874477927,penny,0.03
ABT,125.38599955240885,5529068.866666666,693037420.979338,large,0.001
ABTC,2.2139999945958455,21814024.4,45966981.61504461,penny,0.03
ABTS,5.910333347320557,14340.466666666667,85563.31900428137,illiquid,0.02
ABUS,4.514666652679443,1145385.3333333333,5235344.718955358,penny,0.03
ABVC,2.2986666361490884,70513.0,157900.11768817902,penny,0.03
ABVE,2.449666651089986,2696583.0,6833800.129645467,penny,0.03
ABVX,118.21566721598307,1776495.2666666666,211772696.78492737,large,0.001
ACA,108.48933308919271,213251.0,23164876.402030945,mid,0.003
ACAD,26.471333312988282,1463891.1333333333,38912695.61899655,mid,0.003
ACB,4.830666732788086,2829078.7333333334,14841421.12075545,penny,0.03
ACCO,3.6579999764760336,726150.3333333334,2670459.062789043,penny,0.03
ACCS,8.612666575113932,15793.666666666666,137448.61477597555,illiquid,0.02
ACDC,4.091999991734823,1135139.1333333333,4675018.228452062,penny,0.03
ACEL,10.720000012715657,452781.5333333333,4876602.661705399,small,0.008
ACES,33.1206667582194,24301.133333333335,808457.8665423075,illiquid,0.02
ACET,0.5312666714191436,2904117.7333333334,1508565.5163836041,penny,0.03
ACFN,15.621333249409993,45747.6,710460.6319203695,illiquid,0.02
ACGL,93.46500015258789,2168036.1428571427,202823333.3643581,large,0.001
ACGLN,17.11333325703939,63520.6,1085178.3555684409,small,0.008
ACGLO,20.951266479492187,33218.933333333334,693076.1990356445,illiquid,0.02
ACGR,66.06496022542318,3313.6666666666665,221369.27706400552,illiquid,0.02
ACHC,14.895333417256673,3604952.8,52982145.27766444,mid,0.003
ACHR,8.163333384195964,38990061.53333333,319007383.5376062,large,0.001
ACHV,4.604285751070295,555501.5,2570524.4744348526,penny,0.03
ACI,17.542666625976562,8044576.133333334,140589139.1594902,large,0.001
ACIC,12.371999867757161,120371.33333333333,1496866.3224506378,small,0.008
ACIU,2.928666671117147,1836510.3333333333,5816694.669614394,penny,0.03
ACIW,46.83999964396159,715080.8,33588243.48817444,mid,0.003
ACLC,78.61280008951823,7139.8,560203.5047983805,illiquid,0.02
ACLO,50.32400029500325,4007.6666666666665,201615.03464635214,illiquid,0.02
ACLS,86.40866597493489,547875.0,47498517.2578303,mid,0.003
ACLX,69.8479995727539,1393454.5333333334,97924878.4379303,mid,0.003
ACM,100.53666636149089,1563595.5333333334,157164488.26951498,large,0.001
ACMR,36.34466679890951,1178059.3333333333,43002862.094942726,mid,0.003
ACN,267.58928353445873,4476734.214285715,1202560654.6647666,large,0.001
ACNB,50.46571377345494,27570.928571428572,1407972.756433487,small,0.008
ACNT,15.19857154573713,73570.5,1124952.8872726986,small,0.008
ACOG,5.739000002543132,101532.86666666667,573447.8451752345,illiquid,0.02
ACON,6.352000077565511,104523.6,679134.2362078349,illiquid,0.02
ACP,5.412000020345052,620234.0666666667,3357467.1766125998,small,0.008
ACPpA,20.547485760280065,6316.928571428572,129262.41050066266,illiquid,0.02
ACR,23.000666681925455,43203.333333333336,1006030.5416870117,small,0.008
ACRE,5.247999986012776,510779.26666666666,2698624.5367878913,small,0.008
ACRS,3.047333319981893,1321979.0666666667,4087614.178247706,penny,0.03
ACRV,2.4246666431427,498417.26666666666,1205542.148831574,penny,0.03
ACT,39.06133321126302,269336.93333333335,10525219.034323629,mid,0.003
ACTG,3.7959999720255535,241691.4,921376.0445314089,penny,0.03
ACTU,7.2959999720255535,78056.13333333333,572576.3873193741,illiquid,0.02
ACU,38.579332987467446,7794.666666666667,301019.1020914714,illiquid,0.02
ACV,25.95266672770182,19899.533333333333,516680.88504638674,illiquid,0.02
ACVA,7.948666572570801,2666709.466666667,21206097.43304984,mid,0.003
ACVF,49.21273345947266,5423.733333333334,267169.6007466634,illiquid,0.02
ACVT,26.805785724094935,642.8571428571429,17242.107227870398,illiquid,0.02
ACWI,141.36199951171875,3896646.7333333334,551128458.9637604,large,0.001
ACWX,66.65266672770183,1469941.6,97924050.41175537,mid,0.003
ACXP,3.741333325703939,88222.93333333333,361499.6446666082,penny,0.03
AD,49.744666798909506,239884.33333333334,11919567.25804011,mid,0.003
ADAG,1.892533334096273,64485.066666666666,121603.76460415522,penny,0.03
ADAM,7.372666645050049,615815.9333333333,4534977.9233726505,small,0.008
ADAMG,25.152533594767252,18802.666666666668,472304.99077860516,illiquid,0.02
ADAMH,25.661000188191732,50135.333333333336,1285192.005791982,small,0.008
ADAMI,25.281666692097982,6185.0,155956.61016464233,illiquid,0.02
ADAML,22.678600056966147,5240.666666666667,118945.76646931966,illiquid,0.02
ADAMM,24.942000071207683,14550.866666666667,362805.0497979482,illiquid,0.02
ADAMN,22.317399978637695,9316.866666666667,207998.08148943583,illiquid,0.02
ADAMZ,19.190866470336914,6935.2,133068.51992696125,illiquid,0.02
ADBE,340.7000020345052,4799554.2,1647972290.2060263,large,0.001
ADBG,9.790399869283041,829179.9333333333,8302566.686140315,small,0.008
ADC,72.83133392333984,1049860.6,75997086.64343719,mid,0.003
ADCT,3.9226666768391927,2243408.7333333334,8735997.792785423,penny,0.03
ADEA,12.81200008392334,644136.6,8300619.391313616,small,0.008
ADGM,0.9423333287239075,304071.8,314285.0422838966,penny,0.03
ADI,276.40400390625,3982472.933333333,1098853421.9578574,large,0.001
ADIL,0.2974533359209696,261824.73333333334,76737.70919412374,penny,0.03
ADIV,18.216586558024087,16900.266666666666,309744.89161224366,illiquid,0.02
ADM,59.2619997660319,2453789.8,145159074.61305365,large,0.001
ADMA,19.557333119710286,2535918.2666666666,49577424.38085149,mid,0.003
ADNT,19.00799992879232,1126533.8,21409883.431817498,mid,0.003
ADP,260.6786692301432,2497423.066666667,651222651.2415365,large,0.001
ADPT,16.478666559855142,3035904.7333333334,48661388.753330484,mid,0.003
ADPV,43.239933268229166,9262.533333333333,400147.7978749593,illiquid,0.02
ADSE,12.302999941507975,21016.133333333335,257893.1463587443,illiquid,0.02
ADSK,301.586427961077,1561020.7857142857,470292387.8867798,large,0.001
ADT,8.129333368937175,6195359.666666667,50352083.61561171,mid,0.003
ADTN,8.429333273569743,1366198.3333333333,11501154.927953085,mid,0.003
ADTX,2.484666657447815,5461404.133333334,13559206.720858034,penny,0.03
ADUR,12.939666684468587,330022.3333333333,4281659.491828282,small,0.008
ADUS,115.15933278401693,168028.13333333333,19434619.883096315,mid,0.003
ADV,0.9017199993133544,1075276.8666666667,946108.2870105068,penny,0.03
ADVB,0.383953328927358,1913217.6,722411.0870904208,penny,0.03
ADVE,39.06522038777669,1629.0,63746.71133041382,illiquid,0.02
ADX,22.809999974568687,262510.5333333333,5987963.001608531,small,0.008
ADXN,7.943733374277751,7291.4,59972.759550317125,illiquid,0.02
AEBI,12.785999997456868,202812.6,2581635.721125857,small,0.008
AEC,5.896000035603842,52281.4,316468.1467696826,illiquid,0.02
AEE,100.02214213779995,1988969.7142857143,198228663.45737568,large,0.001
AEF,6.85571425301688,140777.35714285713,973829.5824126516,illiquid,0.02
AEFC,19.79593340555827,57884.13333333333,1146292.3854873658,small,0.008
AEG,7.709285736083984,5474584.714285715,41906754.21893358,mid,0.003
AEHL,2.8746666431427004,441604.73333333334,1328183.503801171,penny,0.03
AEHR,23.671428544180735,556643.5,13194822.963492122,mid,0.003
AEI,2.859666665395101,39028.0,114776.83303515117,penny,0.03
AEIS,215.09785897391183,341946.64285714284,73662800.73700278,mid,0.003
AEM,168.69866434733072,2310849.933333333,388841837.2577159,large,0.001
AEMD,3.6360000451405843,343007.86666666664,1527944.3040234249,penny,0.03
AENT,7.184666633605957,56928.0,424242.0261007945,illiquid,0.02
