^VIX,^TNX,^TYX,^IRX,DX-Y.NYB,GC=F,CL=F,HYG,LQD,TLT,IEF,SPY,QQQ,IWM,XLF,XLE,XLK,Yield_Curve,Credit_Spread,Risk_Ratio,SmallCap_Ratio,Gold_SPY_Ratio,Dollar_Change_20D,Macro_Regime
12.470000267028809,1.8819999694824219,2.3410000801086426,1.4950000047683716,96.8499984741211,1524.5,61.18000030517578,64.4736099243164,104.14954376220703,115.89300537109375,96.54399108886719,298.57861328125,208.84898376464844,154.22146606445312,27.882177352905273,23.709081649780273,44.41652297973633,0.3869999647140503,,1.873397022956727,0.5165187967404156,5.1058579958102275,,NEUTRAL
14.020000457763672,1.7879999876022339,2.249000072479248,1.4730000495910645,96.83999633789062,1549.199951171875,63.04999923706055,64.40791320800781,104.50691986083984,117.67778015136719,97.18917083740234,296.3177185058594,206.9359130859375,153.61676025390625,27.586132049560547,23.63863754272461,43.917144775390625,0.31499993801116943,,1.8578543156734193,0.5184190841792967,5.228171838604519,,NEUTRAL
13.850000381469727,1.8109999895095825,2.2809998989105225,1.4880000352859497,96.66999816894531,1566.199951171875,63.27000045776367,64.3421859741211,104.15767669677734,117.009521484375,97.08453369140625,297.4482116699219,208.26922607421875,153.82144165039062,27.568185806274414,23.822582244873047,44.02177429199219,0.3229999542236328,,1.8479010310255635,0.5171368850624868,5.265454252957104,,NEUTRAL
13.789999961853027,1.8270000219345093,2.305000066757202,1.5,96.9800033569336,1571.800048828125,62.70000076293945,64.2837905883789,103.88967895507812,116.43431091308594,96.945068359375,296.61175537109375,208.24026489257812,153.30982971191406,27.388771057128906,23.75996208190918,44.00274658203125,0.3270000219345093,,1.8519704042598164,0.5168703766312521,5.299183260156467,,NEUTRAL
13.449999809265137,1.8739999532699585,2.3580000400543213,1.4930000305175781,97.30000305175781,1557.4000244140625,59.61000061035156,64.3421859741211,103.74346160888672,115.66462707519531,96.71836853027344,298.19268798828125,209.80548095703125,153.7842254638672,27.568185806274414,23.368589401245117,44.47359848022461,0.38099992275238037,,1.9031357741197243,0.5157209806228072,5.222797496883181,,NEUTRAL
12.539999961853027,1.8580000400543213,2.3299999237060547,1.5,97.44999694824219,1551.699951171875,59.560001373291016,64.51013946533203,104.23892211914062,116.07061004638672,96.78813934326172,300.21466064453125,211.58322143554688,153.9702606201172,27.738643646240234,23.540796279907227,44.97772979736328,0.3580000400543213,,1.9106290739941163,0.5128672273684377,5.168634828960479,,NEUTRAL
12.5600004196167,1.8250000476837158,2.2839999198913574,1.4980000257492065,97.36000061035156,1557.5,59.040000915527344,64.53203582763672,104.53129577636719,117.10263061523438,96.99736785888672,299.3507080078125,211.04217529296875,153.39349365234375,27.532302856445312,23.407730102539062,44.87310791015625,0.3270000219345093,,1.9170209035043861,0.5124206809904738,5.202927396982646,,NEUTRAL
12.319999694824219,1.8480000495910645,2.306999921798706,1.5099999904632568,97.3499984741211,1548.4000244140625,58.08000183105469,64.53203582763672,104.279541015625,116.74732208251953,96.88404083251953,301.4094543457031,213.4769287109375,154.38893127441406,27.720699310302734,23.415557861328125,45.43430709838867,0.3380000591278076,,1.9403469850028867,0.5122232532803596,5.1371979282312665,,NEUTRAL
12.390000343322754,1.8179999589920044,2.2750000953674316,1.5299999713897705,97.37000274658203,1542.4000244140625,58.22999954223633,64.52471160888672,104.40947723388672,117.34793853759766,97.07584381103516,300.9499206542969,212.63638305664062,154.95640563964844,27.6668701171875,23.419475555419922,45.22029113769531,0.2879999876022339,,1.930884021321736,0.5148910001463263,5.125105270208153,,NEUTRAL
12.420000076293945,1.7879999876022339,2.242000102996826,1.5080000162124634,97.2300033569336,1552.0999755859375,57.810001373291016,64.53932189941406,104.63690185546875,118.12606048583984,97.31997680664062,301.6300048828125,212.72332763671875,155.70062255859375,27.514360427856445,23.247272491455078,45.272605895996094,0.2799999713897705,,1.9474373138886205,0.5161973942847152,5.145708153898516,,NEUTRAL
