ticker,date,rsi,vix,result,return,days
NVDA,2025-09-02,29.325322170170267,17.170000076293945,LOSS,-0.01,3
NVDA,2025-09-05,29.152447295346477,15.180000305175781,WIN,0.02,3
NVDA,2025-09-08,28.55353887081793,15.109999656677246,WIN,0.02,1
NVDA,2025-11-21,29.460096366747067,23.43000030517578,LOSS,-0.01,1
MSFT,2025-08-22,24.796019076100066,14.220000267028809,LOSS,-0.01,2
MSFT,2025-08-25,27.243785305174484,14.789999961853027,LOSS,-0.01,1
MSFT,2025-08-26,27.568419080600407,14.619999885559082,LOSS,-0.01,4
MSFT,2025-09-02,25.892845255371725,17.170000076293945,LOSS,-0.01,3
MSFT,2025-09-05,26.25193569058095,15.180000305175781,LOSS,-0.01,1
MSFT,2025-11-17,27.5454411171431,22.3799991607666,LOSS,-0.01,1
MSFT,2025-11-18,23.51962944202708,24.690000534057617,LOSS,-0.01,1
MSFT,2025-11-19,26.165796561800207,23.65999984741211,LOSS,-0.01,1
MSFT,2025-11-20,26.2160787384435,26.420000076293945,LOSS,-0.01,1
MSFT,2025-11-21,24.535436290224467,23.43000030517578,LOSS,-0.01,1
MSFT,2025-11-24,26.968986103374903,20.520000457763672,LOSS,-0.01,1
META,2025-09-02,24.017758611809867,17.170000076293945,WIN,0.02,2
META,2025-09-03,27.967186536589637,16.350000381469727,WIN,0.02,1
META,2025-10-03,27.877562684560914,16.649999618530273,LOSS,-0.01,1
META,2025-10-06,21.9598734545161,16.3700008392334,WIN,0.02,2
META,2025-10-07,22.097533456333082,17.239999771118164,LOSS,-0.01,1
META,2025-10-08,22.26033136149114,16.299999237060547,WIN,0.02,1
META,2025-10-10,28.751929234026335,21.65999984741211,LOSS,-0.01,1
META,2025-10-31,29.51018671146602,17.440000534057617,LOSS,-0.01,1
META,2025-11-03,28.87936317988131,17.170000076293945,LOSS,-0.01,1
META,2025-11-04,23.372467892812367,19.0,WIN,0.02,1
META,2025-11-05,27.94645138865785,18.010000228881836,LOSS,-0.01,1
META,2025-11-06,23.481655674642255,19.5,LOSS,-0.01,1
META,2025-11-07,17.93802785735791,19.079999923706055,WIN,0.02,1
META,2025-11-10,21.99105013441654,17.600000381469727,LOSS,-0.01,1
META,2025-11-11,21.378214234976568,17.280000686645508,LOSS,-0.01,1
META,2025-11-12,19.24913292938669,17.510000228881836,LOSS,-0.01,1
META,2025-11-13,17.842305759843086,20.0,LOSS,-0.01,1
META,2025-11-14,12.348190653210551,19.829999923706055,LOSS,-0.01,1
META,2025-11-17,11.595994863277156,22.3799991607666,LOSS,-0.01,1
META,2025-11-18,11.24145336861973,24.690000534057617,LOSS,-0.01,1
META,2025-11-19,18.483581503929486,23.65999984741211,LOSS,-0.01,1
META,2025-11-20,21.500115276758322,26.420000076293945,LOSS,-0.01,1
META,2025-11-21,27.89869051413335,23.43000030517578,WIN,0.02,1
GOOGL,2025-10-09,28.038615814138893,16.43000030517578,LOSS,-0.01,1
GOOGL,2025-10-10,25.670720495304153,21.65999984741211,WIN,0.02,2
AMZN,2025-09-26,27.951704859679637,15.289999961853027,LOSS,-0.01,3
AMZN,2025-09-29,27.931897502606688,16.1200008392334,LOSS,-0.01,2
AMZN,2025-10-06,28.192362915131298,16.3700008392334,WIN,0.02,2
AMZN,2025-11-20,27.730262769886693,26.420000076293945,LOSS,-0.01,1
AMZN,2025-11-21,19.479573861253243,23.43000030517578,WIN,0.02,1
AMZN,2025-11-24,29.235757045362163,20.520000457763672,WIN,0.02,1
TSLA,2025-11-21,26.390086695172855,23.43000030517578,WIN,0.02,1
V,2025-11-14,29.012430701422133,19.829999923706055,LOSS,-0.01,1
V,2025-11-17,26.80834021572673,22.3799991607666,LOSS,-0.01,1
V,2025-11-18,27.454812577390285,24.690000534057617,LOSS,-0.01,1
V,2025-11-19,26.07766694553179,23.65999984741211,WIN,0.02,1
V,2025-11-20,28.75128626102125,26.420000076293945,WIN,0.02,1
MA,2025-10-10,27.724108199527848,21.65999984741211,LOSS,-0.01,1
MA,2025-11-10,28.50063236874736,17.600000381469727,WIN,0.02,2
MA,2025-11-14,29.07433377393494,19.829999923706055,LOSS,-0.01,1
MA,2025-11-17,27.99636079822288,22.3799991607666,LOSS,-0.01,1
MA,2025-11-18,28.90625,24.690000534057617,LOSS,-0.01,1
AMD,2025-09-03,22.703883239350134,16.350000381469727,LOSS,-0.01,1
AMD,2025-09-04,24.588842217568583,15.300000190734863,LOSS,-0.01,1
AMD,2025-09-05,20.64127044529461,15.180000305175781,LOSS,-0.01,1
AMD,2025-09-08,21.775843735447808,15.109999656677246,WIN,0.02,1
AMD,2025-11-21,28.84513431202211,23.43000030517578,LOSS,-0.01,1
AMD,2025-12-03,28.452139861672336,16.079999923706055,WIN,0.02,2
CRM,2025-08-07,25.545940202144948,16.56999969482422,LOSS,-0.01,1
CRM,2025-08-08,25.390013471024858,15.149999618530273,LOSS,-0.01,1
CRM,2025-08-11,19.546776082783737,16.25,LOSS,-0.01,1
CRM,2025-08-12,13.06603730150691,14.729999542236328,LOSS,-0.01,1
CRM,2025-08-13,21.082347623993,14.489999771118164,WIN,0.02,2
CRM,2025-08-14,17.673671904465394,14.829999923706055,WIN,0.02,1
CRM,2025-08-15,28.001907466129055,15.09000015258789,WIN,0.02,1
CRM,2025-11-10,27.215449258096356,17.600000381469727,WIN,0.02,1
CRM,2025-11-19,25.245240787354348,23.65999984741211,LOSS,-0.01,1
CRM,2025-11-20,19.187479101690712,26.420000076293945,LOSS,-0.01,1
CRM,2025-11-21,20.32254317610729,23.43000030517578,WIN,0.02,2
CRM,2025-11-24,22.953407824234148,20.520000457763672,WIN,0.02,1
SHOP,2025-08-26,29.344334374214853,14.619999885559082,LOSS,-0.01,1
SHOP,2025-11-13,26.346659707752735,20.0,LOSS,-0.01,1
SHOP,2025-11-14,23.346793621465906,19.829999923706055,LOSS,-0.01,1
SHOP,2025-11-17,15.551607452756315,22.3799991607666,LOSS,-0.01,1
SHOP,2025-11-18,16.24649785116054,24.690000534057617,WIN,0.02,1
SHOP,2025-11-19,25.894885148779167,23.65999984741211,WIN,0.02,1
SHOP,2025-11-20,24.940130271309386,26.420000076293945,LOSS,-0.01,1
SHOP,2025-11-21,29.318860165205606,23.43000030517578,WIN,0.02,1
PLTR,2025-08-27,27.42737955394304,14.850000381469727,LOSS,-0.01,1
PLTR,2025-08-28,22.83346456228891,14.430000305175781,LOSS,-0.01,1
PLTR,2025-08-29,24.13863524266212,15.359999656677246,LOSS,-0.01,1
PLTR,2025-09-02,17.73216764503104,17.170000076293945,WIN,0.02,1
PLTR,2025-09-03,17.890595541865096,16.350000381469727,LOSS,-0.01,1
PLTR,2025-09-04,21.585192352063274,15.300000190734863,LOSS,-0.01,1
PLTR,2025-09-05,21.99720397552626,15.180000305175781,LOSS,-0.01,1
PLTR,2025-09-08,29.05863852101301,15.109999656677246,WIN,0.02,1
PLTR,2025-11-20,27.412748000659633,26.420000076293945,LOSS,-0.01,1
PLTR,2025-11-21,21.922951852030153,23.43000030517578,WIN,0.02,1
PLTR,2025-12-01,27.1118031855749,17.239999771118164,WIN,0.02,1
HD,2025-10-01,9.608214478723653,16.290000915527344,LOSS,-0.01,1
HD,2025-10-02,9.24607944488612,16.6299991607666,LOSS,-0.01,2
HD,2025-10-03,9.3262029379446,16.649999618530273,LOSS,-0.01,1
HD,2025-10-06,8.2422571610429,16.3700008392334,LOSS,-0.01,1
HD,2025-10-07,8.677724516762083,17.239999771118164,LOSS,-0.01,1
HD,2025-10-08,6.885049492263079,16.299999237060547,LOSS,-0.01,1
HD,2025-10-09,6.200985598368675,16.43000030517578,LOSS,-0.01,1
HD,2025-10-10,6.461659008207391,21.65999984741211,WIN,0.02,2
HD,2025-10-13,14.288874019811729,19.030000686645508,WIN,0.02,1
HD,2025-10-14,28.538039179107827,20.809999465942383,WIN,0.02,1
HD,2025-10-16,26.304794039624255,25.309999465942383,LOSS,-0.01,5
HD,2025-11-06,23.860687111489966,19.5,LOSS,-0.01,1
HD,2025-11-07,29.180231880638587,19.079999923706055,LOSS,-0.01,1
HD,2025-11-10,25.259763738429896,17.600000381469727,LOSS,-0.01,4
HD,2025-11-13,28.770228782422294,20.0,LOSS,-0.01,1
HD,2025-11-14,26.199834459379687,19.829999923706055,LOSS,-0.01,1
HD,2025-11-17,23.33584663056658,22.3799991607666,LOSS,-0.01,1
HD,2025-11-18,18.428999214625605,24.690000534057617,LOSS,-0.01,1
HD,2025-11-19,16.02048901182914,23.65999984741211,LOSS,-0.01,1
HD,2025-11-20,15.474606347851477,26.420000076293945,WIN,0.02,1
HD,2025-11-21,27.5650160243422,23.43000030517578,WIN,0.02,1
HD,2025-11-24,20.9665541577171,20.520000457763672,WIN,0.02,1
