sector,ticker,rs_rank,rs_score,momentum_1m,momentum_3m,momentum_6m,relative_to_spy,trend,volatility
Consumer Discretionary,XLY,1,3.8577919316295484,8.984009025188922,1.873594861031802,14.123134161056239,6.895367442657485,UP,16.316393094836084
Healthcare,XLV,2,3.5833467147983904,1.037223010610222,12.64729427047735,16.457323999178875,-1.0514185719212144,SIDEWAYS,17.400983992637478
Financials,XLF,3,0.6329102433604673,5.779673124252516,1.0000016954210045,7.319955220468044,3.6910315417210793,UP,12.142579803497702
Communication Services,XLC,4,0.24137143267932704,4.748627271664341,-1.7793899289677562,12.108963235115922,2.6599856891329043,UP,11.519720994755353
Technology,XLK,5,-0.29058573852481995,0.7509646376465229,0.14858236210111286,16.55137552753643,-1.3376769448849135,DOWN,22.259468860117803
Materials,XLB,6,-0.5662041219124405,5.3650555035351655,-0.03320394796882953,3.910735910981633,3.276413921003729,UP,16.985012340436175
Industrials,XLI,7,-0.8474444474723076,2.7801745966696823,0.999999202154811,7.416931825160544,0.6915330141382459,UP,15.986609124049235
Consumer Staples,XLP,8,-2.3391890352803535,3.5028103912530195,1.5777364948412087,-2.7149865393676254,1.4141688087215831,UP,11.140308699344349
Utilities,XLU,9,-3.5444972870944613,-2.384989918885405,1.3615066944357546,6.302317677516078,-4.4736315014168415,DOWN,14.41648213765083
Energy,XLE,10,-4.201797365532369,-1.8023978267599383,0.6729827530601584,2.5921229670762713,-3.8910394092913747,SIDEWAYS,20.424482857374848
Real Estate,XLRE,11,-5.665983273023029,-0.07405277842464919,-2.8557683681297408,-3.756542509430405,-2.1626943609560856,DOWN,10.019970799104657
